Age,Sex,weight,,Note:,,,,,,,,,,,,,
1,0,35.30456106,,"age =1 if they are below 5, age=2 if they are between 5-9... age=21 if they are over 100",,,,,,,,,,,,,
2,0,32.21639365,,"sex=0 if they are born biologically as male, sex=1 if female.",,,,,,,,,,,,,
3,0,29.95158315,,,,,,,,,,,,,,,
4,0,29.48425971,,,,,,,,,,,,,,,
5,0,29.42201361,,,,,,,,,,,,,,,
6,0,29.51591663,,,,,,,,,,,,,,,
7,0,29.48356731,,,,,,,,,,,,,,,
8,0,30.52838031,,,,,,,,,,,,,,,
9,0,33.05177827,,,,,,,,,,,,,,,
10,0,33.40947771,,,,,,,,,,,,,,,
11,0,32.56970797,,,,,,,,,,,,,,,
12,0,30.80452075,,,,,,,,,,,,,,,
13,0,32.42096154,,,,,,,,,,,,,,,
14,0,38.38555873,,,,,,,,,,,,,,,173
15,0,48.16364267,,,,,,,,,,,,,,,
16,0,74.0575447,,,,,,,,,,,,,,,
17,0,121.8094209,,,,,,,,,,,,,,,
18,0,221.7911024,,,,,,,,,,,,,,,
19,0,528.7562691,,,,,,,,,,,,,,,
20,0,2242.674035,,,,,,,,,,,,,,,
21,0,19523.43058,,,,,,,,,,,,,,,
1,1,36.77886373,,,,,,,,,,,,,,,
2,1,33.67632365,,,,,,,,,,,,,,,
3,1,31.38230634,,,,,,,,,,,,,,,
4,1,30.70535964,,,,,,,,,,,,,,,
5,1,30.40582261,,,,,,,,,,,,,,,
6,1,29.93650151,,,,,,,,,,,,,,,
7,1,29.35366456,,,,,,,,,,,,,,,
8,1,30.0829173,,,,,,,,,,,,,,,
9,1,32.23898051,,,,,,,,,,,,,,,
10,1,32.41723255,,,,,,,,,,,,,,,
11,1,31.42622771,,,,,,,,,,,,,,,
12,1,29.17500366,,,,,,,,,,,,,,,
13,1,29.95578437,,,,,,,,,,,,,,,
14,1,34.3328872,,,,,,,,,,,,,,,
15,1,41.7363257,,,,,,,,,,,,,,,
16,1,60.48611654,,,,,,,,,,,,,,,
17,1,90.36902679,,,,,,,,,,,,,,,
18,1,141.9630133,,,,,,,,,,,,,,,
19,1,265.2774202,,,,,,,,,,,,,,,
20,1,822.3854092,,,,,,,,,,,,,,,
21,1,5247.605855,,,,,,,,,,,,,,,